area,route_name,date,gpx_file,url
日高山脈,思い出の頂（北日高岳）,2025年02月09日(日),routes/track-7784208.gpx,https://www.yamareco.com/modules/yamareco/detail-7784208.html
妙高・戸隠・雨飾,佐渡山,2025年02月09日(日),routes/track-7784235.gpx,https://www.yamareco.com/modules/yamareco/detail-7784235.html
札幌近郊,ネオパラ　アクションカメラのススメ,2025年02月07日(金),routes/track-7784262.gpx,https://www.yamareco.com/modules/yamareco/detail-7784262.html
志賀・草津・四阿山・浅間,角間山北面,2025年02月09日(日),routes/track-7784274.gpx,https://www.yamareco.com/modules/yamareco/detail-7784274.html
槍・穂高・乗鞍,大崩山 北尾根,2025年02月08日(土),routes/track-7784280.gpx,https://www.yamareco.com/modules/yamareco/detail-7784280.html
槍・穂高・乗鞍,十石山：平湯北西尾根から,2025年02月09日(日),routes/track-7784309.gpx,https://www.yamareco.com/modules/yamareco/detail-7784309.html
蔵王・面白山・船形山,旧セントメリースキー場「大雪直後に行ける所は？」,2025年02月09日(日),routes/track-7784474.gpx,https://www.yamareco.com/modules/yamareco/detail-7784474.html
八幡平・岩手山・秋田駒,八幡平　茶臼岳～熊沼,2025年02月08日(土),routes/track-7784560.gpx,https://www.yamareco.com/modules/yamareco/detail-7784560.html
日光・那須・筑波,那須中ノ大倉山〜旧ジーパン山より,2025年02月09日(日),routes/track-7784598.gpx,https://www.yamareco.com/modules/yamareco/detail-7784598.html
積丹・ニセコ・羊蹄山,ニセコG9ゲートから,2025年02月09日(日),routes/track-7784713.gpx,https://www.yamareco.com/modules/yamareco/detail-7784713.html
谷川・武尊,毛無山,2025年02月09日(日),routes/track-7784859.gpx,https://www.yamareco.com/modules/yamareco/detail-7784859.html
八ヶ岳・蓼科,赤岳,2025年02月10日(月),routes/track-7784907.gpx,https://www.yamareco.com/modules/yamareco/detail-7784907.html
十和田湖・八甲田,八甲田BC 雛岳東エリア,2025年02月09日(日),routes/track-7784926.gpx,https://www.yamareco.com/modules/yamareco/detail-7784926.html
谷川・武尊,ドカ雪の武尊山西俣沢散策,2025年02月09日(日),routes/track-7784971.gpx,https://www.yamareco.com/modules/yamareco/detail-7784971.html
札幌近郊,手稲ネオパラ,2025年02月10日(月),routes/track-7785096.gpx,https://www.yamareco.com/modules/yamareco/detail-7785096.html
